,lemma,pos,token,annotation
96,called,VBD,called,O
97,me,PRP,me,O
98,up,RP,up,O
99,",",",",",",O
100,and,CC,and,O
101,spoke,NN,spoke,O
102,of,IN,of,O
103,me,PRP,me,O
104,being,VBG,being,O
105,a,DT,a,O
106,good,JJ,good,O
107,girl,NN,girl,O
108,at,IN,at,O
109,my,PRP$,my,O
110,needle,NN,needle,O
111,",",",",",",O
112,and,CC,and,O
113,a,DT,a,O
114,steady,JJ,steady,O
115,",",",",",",O
116,honest,JJS,honest,O
117,girl,NN,girl,O
118,",",",",",",O
119,and,CC,and,O
120,one,CD,one,O
121,whose,WP$,whose,O
122,parent,NN,parents,O
123,were,VBD,were,O
124,very,RB,very,O
125,respectable,JJ,respectable,O
126,",",",",",",O
127,though,IN,though,O
128,they,PRP,they,O
129,might,MD,might,O
130,be,VB,be,O
131,poor,JJ,poor,O
132,.,.,.,O
133,I,PRP,I,O
134,thought,VBD,thought,O
135,I,PRP,I,O
136,should,MD,should,O
137,like,VB,like,O
138,nothing,NN,nothing,O
139,better,JJR,better,O
140,than,IN,than,O
141,to,TO,to,O
142,serve,VB,serve,O
143,the,DT,the,O
144,pretty,NN,pretty,O
145,young,JJ,young,O
146,lady,NN,lady,O
147,",",",",",",O
148,who,WP,who,O
149,wa,VBD,was,O
150,blushing,VBG,blushing,O
151,a,DT,as,O
152,deep,JJ,deep,O
153,a,DT,as,O
154,I,PRP,I,O
155,wa,VBP,was,O
156,",",",",",",O
157,a,DT,as,O
158,she,PRP,she,O
159,spoke,VBD,spoke,O
160,of,IN,of,O
161,the,DT,the,O
162,coming,VBG,coming,O
163,baby,NN,baby,O
164,",",",",",",O
165,and,CC,and,O
166,what,WP,what,O
167,I,PRP,I,O
168,should,MD,should,O
169,have,VB,have,O
170,to,TO,to,O
171,do,VB,do,O
172,with,IN,with,O
173,it,PRP,it,O
174,.,.,.,O
175,However,RB,However,O
176,",",",",",",O
177,I,PRP,I,O
178,see,VBP,see,O
179,you,PRP,you,O
180,do,VBP,do,O
181,n't,RB,n't,O
182,care,VB,care,O
183,so,RB,so,O
184,much,RB,much,O
185,for,IN,for,O
186,this,DT,this,O
187,part,NN,part,O
188,of,IN,of,O
189,my,PRP$,my,O
190,story,NN,story,O
191,",",",",",",O
192,a,DT,as,O
193,for,IN,for,O
194,what,WP,what,O
195,you,PRP,you,O
196,think,VBP,think,O
197,is,VBZ,is,O
198,to,TO,to,O
199,come,VB,come,O
200,",",",",",",O
201,so,IN,so,O
202,I,PRP,I,O
203,'ll,MD,'ll,O
204,tell,VB,tell,O
205,you,PRP,you,O
206,at,IN,at,O
207,once,RB,once,O
208,.,.,.,O
209,I,PRP,I,O
210,wa,VBP,was,O
211,engaged,VBN,engaged,O
212,and,CC,and,O
213,settled,VBN,settled,O
214,at,IN,at,O
215,the,DT,the,O
216,parsonage,NN,parsonage,O
217,before,IN,before,O
218,Miss,NNP,Miss,O
219,Rosamond,NNP,Rosamond,O
220,(,(,(,O
221,that,IN,that,O
222,wa,VBZ,was,O
223,the,DT,the,O
224,baby,NN,baby,O
225,",",",",",",O
226,who,WP,who,O
227,is,VBZ,is,O
228,now,RB,now,O
229,your,PRP$,your,O
230,mother,NN,mother,O
231,),),),O
232,wa,NN,was,O
233,born,VBN,born,O
234,.,.,.,O
235,To,TO,To,O
236,be,VB,be,O
237,sure,JJ,sure,O
238,",",",",",",O
239,I,PRP,I,O
240,had,VBD,had,O
241,little,JJ,little,O
242,enough,RB,enough,O
243,to,TO,to,O
244,do,VB,do,O
245,with,IN,with,O
246,her,PRP,her,O
247,when,WRB,when,O
248,she,PRP,she,O
249,came,VBD,came,O
250,",",",",",",O
251,for,IN,for,O
252,she,PRP,she,O
253,wa,VBD,was,O
254,never,RB,never,O
255,out,IN,out,O
256,of,IN,of,O
257,her,PRP$,her,O
258,mother,NN,mother,O
259,'s,POS,'s,O
260,arm,NN,arms,O
261,",",",",",",O
262,and,CC,and,O
263,slept,NN,slept,O
264,by,IN,by,O
265,her,PRP$,her,O
266,all,DT,all,O
267,night,NN,night,O
268,long,RB,long,O
269,;,:,;,O
270,and,CC,and,O
271,proud,VB,proud,O
272,enough,JJ,enough,O
273,wa,NN,was,O
274,I,PRP,I,O
275,sometimes,RB,sometimes,O
276,when,WRB,when,O
277,missis,NN,missis,O
278,trusted,VBD,trusted,O
279,her,PRP,her,O
280,to,TO,to,O
281,me,PRP,me,O
282,.,.,.,O
283,There,EX,There,O
284,never,RB,never,O
285,wa,VBP,was,O
286,such,PDT,such,O
287,a,DT,a,O
288,baby,NN,baby,O
289,before,IN,before,O
290,or,CC,or,O
291,since,IN,since,O
292,",",",",",",O
293,though,IN,though,O
294,you,PRP,you,O
295,'ve,VBP,'ve,O
296,all,DT,all,O
297,of,IN,of,O
298,you,PRP,you,O
299,been,VBN,been,O
300,fine,JJ,fine,O
301,enough,RB,enough,O
302,in,IN,in,O
303,your,PRP$,your,O
304,turn,NN,turns,O
305,;,:,;,O
306,but,CC,but,O
307,for,IN,for,O
308,sweet,NN,sweet,O
309,",",",",",",O
310,winning,VBG,winning,O
311,way,NN,ways,O
312,",",",",",",O
313,you,PRP,you,O
314,'ve,VBP,'ve,O
315,none,NN,none,O
316,of,IN,of,O
317,you,PRP,you,O
318,come,VBP,come,O
319,up,RB,up,O
320,to,TO,to,O
321,your,PRP$,your,O
322,mother,NN,mother,O
323,.,.,.,O
324,She,PRP,She,O
325,took,VBD,took,O
326,after,IN,after,O
327,her,PRP$,her,O
328,mother,NN,mother,O
329,",",",",",",O
330,who,WP,who,O
331,wa,VBD,was,O
332,a,DT,a,O
333,real,JJ,real,O
334,lady,NN,lady,O
335,born,VBN,born,O
336,;,:,;,O
337,a,DT,a,O
338,Miss,NNP,Miss,O
339,Furnivall,NNP,Furnivall,O
340,",",",",",",O
341,a,DT,a,O
342,grand-daughter,NN,grand-daughter,O
343,of,IN,of,O
344,Lord,NNP,Lord,O
345,Furnivall,NNP,Furnivall,O
346,'s,POS,'s,O
347,",",",",",",O
348,in,IN,in,O
349,Northumberland,NNP,Northumberland,O
350,.,.,.,O
351,I,PRP,I,O
352,believe,VBP,believe,O
353,she,PRP,she,O
354,had,VBD,had,O
355,neither,CC,neither,O
356,brother,RB,brother,O
357,nor,CC,nor,O
358,sister,JJ,sister,O
359,",",",",",",O
360,and,CC,and,O
361,had,VBD,had,O
362,been,VBN,been,O
363,brought,VBN,brought,O
364,up,RP,up,O
365,in,IN,in,O
366,my,PRP$,my,O
367,lord,NN,lord,O
368,'s,POS,'s,O
369,family,NN,family,O
370,till,NN,till,O
371,she,PRP,she,O
372,had,VBD,had,O
373,married,VBN,married,O
374,your,PRP$,your,O
375,grandfather,NN,grandfather,O
376,",",",",",",O
377,who,WP,who,O
378,wa,VBD,was,O
379,just,RB,just,O
380,a,DT,a,O
381,curate,NN,curate,O
382,",",",",",",O
383,son,NN,son,O
384,to,TO,to,O
385,a,DT,a,O
386,shopkeeper,NN,shopkeeper,O
387,in,IN,in,O
388,Carlisle,NNP,Carlisle,O
389,--,:,--,O
390,but,CC,but,O
391,a,DT,a,O
392,clever,NN,clever,O
393,",",",",",",O
394,fine,JJ,fine,O
395,gentleman,NN,gentleman,O
396,a,DT,as,O
397,ever,RB,ever,O
398,wa,NN,was,O
399,--,:,--,O
400,and,CC,and,O
401,one,CD,one,O
402,who,WP,who,O
403,wa,VBZ,was,O
404,a,DT,a,O
405,right-down,JJ,right-down,O
406,hard,JJ,hard,O
407,worker,NN,worker,O
408,in,IN,in,O
409,his,PRP$,his,O
410,parish,NN,parish,O
411,",",",",",",O
412,which,WDT,which,O
413,wa,VBP,was,O
414,very,RB,very,O
415,wide,JJ,wide,O
416,",",",",",",O
417,and,CC,and,O
418,scattered,VBD,scattered,O
419,all,DT,all,O
420,abroad,RB,abroad,O
421,over,IN,over,O
422,the,DT,the,O
423,Westmoreland,NNP,Westmoreland,O
424,Fells,NNP,Fells,O
425,.,.,.,O
426,When,WRB,When,O
427,your,PRP$,your,O
428,mother,NN,mother,O
429,",",",",",",O
430,little,JJ,little,O
431,Miss,NNP,Miss,O
432,Rosamond,NNP,Rosamond,O
433,",",",",",",O
434,wa,VBZ,was,O
435,about,IN,about,O
436,four,CD,four,O
437,or,CC,or,O
438,five,CD,five,O
439,year,NN,years,O
440,old,JJ,old,O
441,",",",",",",O
442,both,DT,both,O
443,her,PRP$,her,O
444,parent,NN,parents,O
445,died,VBD,died,O
446,in,IN,in,O
447,a,DT,a,O
448,fortnight,NN,fortnight,O
449,--,:,--,O
450,one,CD,one,O
451,after,IN,after,O
452,the,DT,the,O
453,other,JJ,other,O
454,.,.,.,O
455,Ah,UH,Ah,O
456,!,.,!,O
457,that,IN,that,O
458,wa,VBZ,was,O
459,a,DT,a,O
460,sad,JJ,sad,O
461,time,NN,time,O
462,.,.,.,O
463,My,PRP$,My,O
464,pretty,JJ,pretty,O
465,young,JJ,young,O
466,mistress,NN,mistress,O
467,and,CC,and,O
468,me,PRP,me,O
469,wa,VBP,was,O
470,looking,VBG,looking,O
471,for,IN,for,O
472,another,DT,another,O
473,baby,NN,baby,O
474,",",",",",",O
475,when,WRB,when,O
476,my,PRP$,my,O
477,master,NN,master,O
478,came,VBD,came,O
479,home,NN,home,O
480,from,IN,from,O
481,one,CD,one,O
482,of,IN,of,O
483,his,PRP$,his,O
484,long,JJ,long,O
485,ride,NN,rides,O
486,",",",",",",O
487,wet,NN,wet,O
488,and,CC,and,O
489,tired,VBN,tired,O
490,",",",",",",O
491,and,CC,and,O
492,took,VBD,took,O
493,the,DT,the,O
494,fever,NN,fever,O
495,he,PRP,he,O
496,died,VBD,died,O
497,of,IN,of,O
498,;,:,;,O
499,and,CC,and,O
500,then,RB,then,O
501,she,PRP,she,O
502,never,RB,never,O
503,held,VBD,held,O
504,up,RP,up,O
505,her,PRP$,her,O
506,head,NN,head,O
507,again,RB,again,O
508,",",",",",",O
509,but,CC,but,O
510,just,RB,just,O
511,lived,VBD,lived,O
512,to,TO,to,O
513,see,VB,see,O
514,her,PRP$,her,O
515,dead,JJ,dead,O
516,baby,NN,baby,O
517,",",",",",",O
518,and,CC,and,O
519,have,VBP,have,O
520,it,PRP,it,O
521,laid,RBR,laid,O
522,on,IN,on,O
523,her,PRP$,her,O
524,breast,NN,breast,O
525,",",",",",",O
526,before,IN,before,O
527,she,PRP,she,O
528,sighed,VBD,sighed,O
529,away,RB,away,O
530,her,PRP$,her,O
531,life,NN,life,O
532,.,.,.,O
533,My,NNP,My,O
534,mistress,NN,mistress,O
535,had,VBD,had,O
536,asked,VBN,asked,O
537,me,PRP,me,O
538,",",",",",",O
539,on,IN,on,O
540,her,PRP$,her,O
541,death-bed,JJ,death-bed,O
542,",",",",",",O
543,never,RB,never,O
544,to,TO,to,O
545,leave,VB,leave,O
546,Miss,NNP,Miss,O
547,Rosamond,NNP,Rosamond,O
548,;,:,;,O
549,but,CC,but,O
550,if,IN,if,O
551,she,PRP,she,O
552,had,VBD,had,O
553,never,RB,never,O
554,spoken,VBN,spoken,O
555,a,DT,a,O
556,word,NN,word,O
557,",",",",",",O
558,I,PRP,I,O
559,would,MD,would,O
560,have,VB,have,O
561,gone,VBN,gone,O
562,with,IN,with,O
563,the,DT,the,O
564,little,JJ,little,O
565,child,NN,child,O
566,to,TO,to,O
567,the,DT,the,O
568,end,NN,end,O
569,of,IN,of,O
570,the,DT,the,O
571,world,NN,world,O
572,.,.,.,O
573,The,DT,The,O
574,next,JJ,next,O
575,thing,NN,thing,O
576,",",",",",",O
577,and,CC,and,O
578,before,IN,before,O
579,we,PRP,we,O
580,had,VBD,had,O
581,well,RB,well,O
582,stilled,VBN,stilled,O
583,our,PRP$,our,O
584,sob,NN,sobs,O
585,",",",",",",O
586,the,DT,the,O
587,executor,NN,executors,O
588,and,CC,and,O
589,guardian,JJ,guardians,O
590,came,VBD,came,O
591,to,TO,to,O
592,settle,VB,settle,O
593,the,DT,the,O
594,affair,NN,affairs,O
595,.,.,.,O
596,They,PRP,They,O
597,were,VBD,were,O
598,my,PRP$,my,O
599,poor,JJ,poor,O
600,young,JJ,young,O
601,mistress,NN,mistress,O
602,'s,POS,'s,O
603,own,JJ,own,O
604,cousin,NN,cousin,O
605,",",",",",",O
606,Lord,NNP,Lord,O
607,Furnivall,NNP,Furnivall,O
608,",",",",",",O
609,and,CC,and,O
610,Mr.,NNP,Mr.,O
611,Esthwaite,NNP,Esthwaite,O
612,",",",",",",O
613,my,PRP$,my,O
614,master,NN,master,O
615,'s,POS,'s,O
616,brother,NN,brother,O
617,",",",",",",O
618,a,DT,a,O
619,shopkeeper,NN,shopkeeper,O
620,in,IN,in,O
621,Manchester,NNP,Manchester,O
622,;,:,;,O
623,not,RB,not,O
624,so,RB,so,O
625,well,RB,well,O
626,to,TO,to,O
627,do,VB,do,O
628,then,RB,then,O
629,a,DT,as,O
630,he,PRP,he,O
631,wa,JJ,was,O
632,afterwards,NNS,afterwards,O
633,",",",",",",O
634,and,CC,and,O
635,with,IN,with,O
636,a,DT,a,O
637,large,JJ,large,O
638,family,NN,family,O
639,rising,VBG,rising,O
640,about,IN,about,O
641,him,PRP,him,O
642,.,.,.,O
643,Well,UH,Well,O
644,!,.,!,O
645,I,PRP,I,O
646,do,VBP,do,O
647,n't,RB,n't,O
648,know,VB,know,O
649,if,IN,if,O
650,it,PRP,it,O
651,were,VBD,were,O
652,their,PRP$,their,O
653,settling,NN,settling,O
654,",",",",",",O
655,or,CC,or,O
656,because,IN,because,O
657,of,IN,of,O
658,a,DT,a,O
659,letter,NN,letter,O
660,my,PRP$,my,O
661,mistress,JJ,mistress,O
662,wrote,VBD,wrote,O
663,on,IN,on,O
664,her,PRP$,her,O
665,death-bed,JJ,death-bed,O
666,to,TO,to,O
667,her,PRP$,her,O
668,cousin,NN,cousin,O
669,",",",",",",O
670,my,PRP$,my,O
671,lord,NN,lord,O
672,;,:,;,O
673,but,CC,but,O
674,somehow,VBP,somehow,O
675,it,PRP,it,O
676,wa,VBZ,was,O
677,settled,VBD,settled,O
678,that,IN,that,O
679,Miss,NNP,Miss,O
680,Rosamond,NNP,Rosamond,O
681,and,CC,and,O
682,me,PRP,me,O
683,were,VBD,were,O
684,to,TO,to,O
685,go,VB,go,O
686,to,TO,to,O
687,Furnivall,NNP,Furnivall,O
688,Manor,NNP,Manor,O
689,House,NNP,House,O
690,",",",",",",O
691,in,IN,in,O
692,Northumberland,NNP,Northumberland,O
693,",",",",",",O
694,and,CC,and,O
695,my,PRP$,my,O
696,lord,NN,lord,O
697,spoke,VBD,spoke,O
698,a,DT,as,O
699,if,IN,if,O
700,it,PRP,it,O
701,had,VBD,had,O
702,been,VBN,been,O
703,her,PRP$,her,O
704,mother,NN,mother,O
705,'s,POS,'s,O
706,wish,NN,wish,O
707,that,IN,that,O
708,she,PRP,she,O
709,should,MD,should,O
710,live,VB,live,O
711,with,IN,with,O
712,his,PRP$,his,O
713,family,NN,family,O
714,",",",",",",O
715,and,CC,and,O
716,a,DT,as,O
717,if,IN,if,O
718,he,PRP,he,O
719,had,VBD,had,O
720,no,DT,no,O
721,objection,NN,objections,O
722,",",",",",",O
723,for,IN,for,O
724,that,DT,that,O
725,one,CD,one,O
726,or,CC,or,O
727,two,CD,two,O
728,more,JJR,more,O
729,or,CC,or,O
730,le,NN,less,O
731,could,MD,could,O
732,make,VB,make,O
733,no,DT,no,O
734,difference,NN,difference,O
735,in,IN,in,O
736,so,RB,so,O
737,grand,JJ,grand,O
738,a,DT,a,O
739,household,NN,household,O
740,.,.,.,O
741,So,RB,So,O
742,",",",",",",O
743,though,IN,though,O
744,that,DT,that,O
745,wa,VBZ,was,O
746,not,RB,not,O
747,the,DT,the,O
748,way,NN,way,O
749,in,IN,in,O
750,which,WDT,which,O
751,I,PRP,I,O
752,should,MD,should,O
753,have,VB,have,O
754,wished,VBN,wished,O
755,the,DT,the,O
756,coming,VBG,coming,O
757,of,IN,of,O
758,my,PRP$,my,O
759,bright,NN,bright,O
760,and,CC,and,O
761,pretty,RB,pretty,O
762,pet,NN,pet,O
763,to,TO,to,O
764,have,VB,have,O
765,been,VBN,been,O
766,looked,VBN,looked,O
767,at,IN,at,O
768,--,:,--,O
769,who,WP,who,O
770,wa,VBP,was,O
771,like,IN,like,O
772,a,DT,a,O
773,sunbeam,NN,sunbeam,O
774,in,IN,in,O
775,any,DT,any,O
776,family,NN,family,O
777,",",",",",",O
778,be,VB,be,O
779,it,PRP,it,O
780,never,RB,never,O
781,so,RB,so,O
782,grand,JJ,grand,O
783,--,:,--,O
784,I,PRP,I,O
785,wa,VBP,was,O
786,well,RB,well,O
787,pleased,JJ,pleased,O
788,that,IN,that,O
789,all,PDT,all,O
790,the,DT,the,O
791,folk,NN,folks,O
792,in,IN,in,O
793,the,DT,the,O
794,Dale,NNP,Dale,O
795,should,MD,should,O
796,stare,VB,stare,O
797,and,CC,and,O
798,admire,VB,admire,O
799,",",",",",",O
800,when,WRB,when,O
801,they,PRP,they,O
802,heard,VBD,heard,O
803,I,PRP,I,O
804,wa,VBP,was,O
805,going,VBG,going,O
806,to,TO,to,O
807,be,VB,be,O
808,young,JJ,young,O
809,lady,NN,lady,O
810,'s,POS,'s,O
811,maid,NN,maid,O
812,at,IN,at,O
813,my,PRP$,my,O
814,Lord,NNP,Lord,O
815,Furnivall,NNP,Furnivall,O
816,'s,POS,'s,O
817,at,IN,at,O
818,Furnivall,NNP,Furnivall,O
819,Manor,NNP,Manor,O
820,.,.,.,O
821,But,CC,But,O
822,I,PRP,I,O
823,made,VBD,made,O
824,a,DT,a,O
825,mistake,NN,mistake,O
826,in,IN,in,O
827,thinking,VBG,thinking,O
828,we,PRP,we,O
829,were,VBD,were,O
830,to,TO,to,O
831,go,VB,go,O
832,and,CC,and,O
833,live,VB,live,O
834,where,WRB,where,O
835,my,PRP$,my,O
836,lord,NN,lord,O
837,did,VBD,did,O
838,.,.,.,O
839,It,PRP,It,O
840,turned,VBD,turned,O
841,out,RP,out,O
842,that,IN,that,O
843,the,DT,the,O
844,family,NN,family,O
845,had,VBD,had,O
846,left,VBN,left,O
847,Furnivall,NNP,Furnivall,O
848,Manor,NNP,Manor,O
849,House,NNP,House,O
850,fifty,JJ,fifty,O
851,year,NN,years,O
852,or,CC,or,O
853,more,JJR,more,O
854,.,.,.,O
855,I,PRP,I,O
856,could,MD,could,O
857,not,RB,not,O
858,hear,VB,hear,O
859,that,IN,that,O
860,my,PRP$,my,O
861,poor,JJ,poor,O
862,young,JJ,young,O
863,mistress,NN,mistress,O
864,had,VBD,had,O
865,never,RB,never,O
866,been,VBN,been,O
867,there,RB,there,O
868,",",",",",",O
869,though,IN,though,O
870,she,PRP,she,O
871,had,VBD,had,O
872,been,VBN,been,O
873,brought,VBN,brought,O
874,up,RP,up,O
875,in,IN,in,O
876,the,DT,the,O
877,family,NN,family,O
878,;,:,;,O
879,and,CC,and,O
880,I,PRP,I,O
881,wa,VBP,was,O
882,sorry,JJ,sorry,O
883,for,IN,for,O
884,that,DT,that,O
885,",",",",",",O
886,for,IN,for,O
887,I,PRP,I,O
888,should,MD,should,O
889,have,VB,have,O
890,liked,VBN,liked,O
891,Miss,NNP,Miss,O
892,Rosamond,NNP,Rosamond,O
893,'s,POS,'s,O
894,youth,NN,youth,O
895,to,TO,to,O
896,have,VB,have,O
897,passed,VBN,passed,O
898,where,WRB,where,O
899,her,PRP$,her,O
900,mother,NN,mother,O
901,'s,POS,'s,O
902,had,VBD,had,O
903,been,VBN,been,O
904,.,.,.,O
905,My,PRP$,My,O
906,lord,NN,lord,O
907,'s,POS,'s,O
908,gentleman,NN,gentleman,O
909,",",",",",",O
910,from,IN,from,O
911,whom,WP,whom,O
912,I,PRP,I,O
913,asked,VBD,asked,O
914,a,DT,as,O
915,many,JJ,many,O
916,question,NN,questions,O
917,a,DT,as,O
918,I,PRP,I,O
919,durst,RB,durst,O
920,",",",",",",O
921,said,VBD,said,O
922,that,IN,that,O
923,the,DT,the,O
924,Manor,NNP,Manor,O
925,House,NNP,House,O
926,wa,NN,was,O
927,at,IN,at,O
928,the,DT,the,O
929,foot,NN,foot,O
930,of,IN,of,O
931,the,DT,the,O
932,Cumberland,NNP,Cumberland,O
933,Fells,NNP,Fells,O
934,",",",",",",O
935,and,CC,and,O
936,a,DT,a,O
937,very,RB,very,O
938,grand,JJ,grand,O
939,place,NN,place,O
940,;,:,;,O
941,that,IN,that,O
942,an,DT,an,O
943,old,JJ,old,O
944,Miss,NNP,Miss,O
945,Furnivall,NNP,Furnivall,O
946,",",",",",",O
947,a,DT,a,O
948,great-aunt,NN,great-aunt,O
949,of,IN,of,O
950,my,PRP$,my,O
951,lord,NN,lord,O
952,'s,POS,'s,O
953,",",",",",",O
954,lived,VBD,lived,O
955,there,RB,there,O
956,",",",",",",O
957,with,IN,with,O
958,only,RB,only,O
959,a,DT,a,O
960,few,JJ,few,O
961,servant,NN,servants,O
962,;,:,;,O
963,but,CC,but,O
964,that,IN,that,O
965,it,PRP,it,O
966,wa,VBZ,was,O
967,a,DT,a,O
968,very,RB,very,O
969,healthy,JJ,healthy,O
970,place,NN,place,O
971,",",",",",",O
972,and,CC,and,O
973,my,PRP$,my,O
974,lord,NN,lord,O
975,had,VBD,had,O
976,thought,VBN,thought,O
977,that,IN,that,O
978,it,PRP,it,O
979,would,MD,would,O
980,suit,VB,suit,O
981,Miss,NNP,Miss,O
982,Rosamond,NNP,Rosamond,O
983,very,RB,very,O
984,well,RB,well,O
985,for,IN,for,O
986,a,DT,a,O
987,few,JJ,few,O
988,year,NN,years,O
989,",",",",",",O
990,and,CC,and,O
991,that,IN,that,O
992,her,PRP$,her,O
993,being,VBG,being,O
994,there,EX,there,O
995,might,MD,might,O
996,perhaps,RB,perhaps,O
997,amuse,VB,amuse,O
998,his,PRP$,his,O
999,old,JJ,old,O
1000,aunt,NN,aunt,O
1001,.,.,.,O
1002,I,PRP,I,O
1003,wa,VBP,was,O
1004,bidden,VBN,bidden,O
1005,by,IN,by,O
1006,my,PRP$,my,O
1007,lord,NN,lord,O
1008,to,TO,to,O
1009,have,VB,have,O
1010,Miss,NNP,Miss,O
1011,Rosamond,NNP,Rosamond,O
1012,'s,POS,'s,O
1013,thing,NN,things,O
1014,ready,JJ,ready,O
1015,by,IN,by,O
1016,a,DT,a,O
1017,certain,JJ,certain,O
1018,day,NN,day,O
1019,.,.,.,O
1020,He,PRP,He,O
1021,wa,VBD,was,O
1022,a,DT,a,O
1023,stern,JJ,stern,O
1024,",",",",",",O
1025,proud,JJ,proud,O
1026,man,NN,man,O
1027,",",",",",",O
1028,a,DT,as,O
1029,they,PRP,they,O
1030,say,VBP,say,O
1031,all,PDT,all,O
1032,the,DT,the,O
1033,Lords,NNP,Lords,O
1034,Furnivall,NNP,Furnivall,O
1035,were,VBD,were,O
1036,;,:,;,O
1037,and,CC,and,O
1038,he,PRP,he,O
1039,never,RB,never,O
1040,spoke,VBD,spoke,O
1041,a,DT,a,O
1042,word,NN,word,O
1043,more,JJR,more,O
1044,than,IN,than,O
1045,wa,JJ,was,O
1046,necessary,JJ,necessary,O
1047,.,.,.,O
1048,Folk,NN,Folk,O
1049,did,VBD,did,O
1050,say,VB,say,O
1051,he,PRP,he,O
1052,had,VBD,had,O
1053,loved,VBN,loved,O
1054,my,PRP$,my,O
1055,young,JJ,young,O
1056,mistress,NN,mistress,O
1057,;,:,;,O
1058,but,CC,but,O
1059,that,IN,that,O
1060,",",",",",",O
1061,because,IN,because,O
1062,she,PRP,she,O
1063,knew,VBD,knew,O
1064,that,IN,that,O
1065,his,PRP$,his,O
1066,father,NN,father,O
1067,would,MD,would,O
1068,object,VB,object,O
1069,",",",",",",O
1070,she,PRP,she,O
1071,would,MD,would,O
1072,never,RB,never,O
1073,listen,VB,listen,O
1074,to,TO,to,O
1075,him,PRP,him,O
1076,",",",",",",O
1077,and,CC,and,O
1078,married,VBD,married,O
1079,Mr.,NNP,Mr.,O
1080,Esthwaite,NNP,Esthwaite,O
1081,;,:,;,O
1082,but,CC,but,O
1083,I,PRP,I,O
1084,do,VBP,do,O
1085,n't,RB,n't,O
1086,know,VB,know,O
1087,.,.,.,O
1088,He,PRP,He,O
1089,never,RB,never,O
1090,married,VBD,married,O
1091,",",",",",",O
1092,at,IN,at,O
1093,any,DT,any,O
1094,rate,NN,rate,O
1095,.,.,.,O
1096,But,CC,But,O
1097,he,PRP,he,O
1098,never,RB,never,O
1099,took,VBD,took,O
1100,much,JJ,much,O
1101,notice,NN,notice,O
1102,of,IN,of,O
1103,Miss,NNP,Miss,O
1104,Rosamond,NNP,Rosamond,O
1105,;,:,;,O
1106,which,WDT,which,O
1107,I,PRP,I,O
1108,thought,VBD,thought,O
1109,he,PRP,he,O
1110,might,MD,might,O
1111,have,VB,have,O
1112,done,VBN,done,O
1113,if,IN,if,O
1114,he,PRP,he,O
1115,had,VBD,had,O
1116,cared,VBN,cared,O
1117,for,IN,for,O
1118,her,PRP$,her,O
1119,dead,JJ,dead,O
1120,mother,NN,mother,O
1121,.,.,.,O
1122,He,PRP,He,O
1123,sent,VBD,sent,O
1124,his,PRP$,his,O
1125,gentleman,NN,gentleman,O
1126,with,IN,with,O
1127,u,JJ,us,O
1128,to,TO,to,O
1129,the,DT,the,O
1130,Manor,NNP,Manor,O
